# lambda mean ci95_lo ci95_hi std n
0.2 769.0837333333333 763.4401182904534 774.7273483762132 11.151850547693657 15
0.4 913.7503999999998 906.6838185835323 920.8169814164672 13.963649051325064 15
0.6 1109.1993333333332 1100.6827865964974 1117.715880070169 16.828797795389146 15
0.8 1426.6166666666666 1406.2680531555259 1446.9652801778072 40.20910267707098 15
1.0 2003.6686666666662 1949.947656639997 2057.389676693336 106.15335570139398 15
